日期,姓名,任务,任务种类,描述,时间,时间和日期
2017-11-01,坤,你的每天炒币经历,错误总结,坚持,学习,2017-11-01 06:02
2017-11-01,Tmm Geek 币价神算-准确率%90,你的每天炒币经历,错误总结,今天的错误,没有预料到以太币的急升，给群内发了错误的帖子,2017-11-01 06:05
2017-11-01,阿宝,说说你认为今天会升的币,比特股 红烧肉,,2017-11-01 06:08
2017-11-01,Robin ,你的每天炒币经历,错误总结,盲目抄底,保持良好的心态，不上头，不膨胀,2017-11-01 06:11
2017-11-01,一生青贤,你的每天炒币经历,错误总结,比特币暴涨，年内山寨会不会还有一次！,,2017-11-01 06:16
2017-11-01,______空巷°,你的每天炒币经历,错误总结,戒贪,新起点，新的开始再见十月,2017-11-01 06:25
2017-11-01,Alanz,你的每天炒币经历,错误总结,一个好的开始，期待和大家一起进步！,,2017-11-01 06:30
2017-11-01,雪丽 【阿胶燕窝糕、阿胶糕】,你的每天炒币经历,错误总结,太心急！十一月你好！,要学会淡定！,2017-11-01 06:36
2017-11-01,LEE,你的每天炒币经历,错误总结,打卡,,2017-11-01 07:04
2017-11-01,回眸已是千年,你的每天炒币经历,错误总结,打卡,,2017-11-01 07:38
2017-11-01,魏一广,你的每天炒币经历,错误总结,币安币高位没,,2017-11-01 07:40
2017-11-01,Г 魂牽夢繞,你的每天炒币经历,错误总结,新的一个月,希望学好知识,2017-11-01 07:51
2017-11-01,朱耘^O^,你的每天炒币经历,错误总结,要多多学习,,2017-11-01 08:03
2017-11-01,回到原点,你的每天炒币经历,错误总结,频道操作，没有信息，导致止盈止损没计划，于是……,,2017-11-01 08:13
2017-11-01,Jack,你的每天炒币经历,错误总结,打卡,NEW,2017-11-01 08:32
2017-11-01,Tracy,你的每天炒币经历,错误总结,坚持每天看分析，不割肉,加油，拜托新韭菜,2017-11-01 08:33
2017-11-01,朱公子,说说你认为今天会升的币,qre,,2017-11-01 08:38
2017-11-01,宝和,你的每天炒币经历,错误总结,看分析，多学习,,2017-11-01 08:38
2017-11-01,金融_李坤田_金生水起,你的每天炒币经历,错误总结,看盘和老师对频率,必须同频币子的感觉,2017-11-01 08:42
2017-11-01,Bornco.Philips,说说你认为今天会升的币,瑞波,,2017-11-01 09:59
2017-11-01,人心换时间,你的每天炒币经历,错误总结,这个月要多赚点,,2017-11-01 09:59
2017-11-01,亮子,你的每天炒币经历,错误总结,回本回本,希望在戴维的指导下，不那么二啦！不轻易割肉！,2017-11-01 09:59
2017-11-01,那朵,你的每天炒币经历,错误总结,拿不住，一跌就慌就割肉了,,2017-11-01 10:00
2017-11-01,韩潇然,你的每天炒币经历,错误总结,贪心 不敢卖,见好就收 机会常在,2017-11-01 10:00
2017-11-01,回到原点,你的每天炒币经历,错误总结,消息不灵，导致重大损失,乖，不哭,2017-11-01 10:00
2017-11-01,回到原点,说说你认为今天会升的币,红烧肉怎样？,,2017-11-01 10:01
2017-11-01,糖糖糖果,你的每天炒币经历,错误总结,买了omg,高位进的,不能追高,2017-11-01 10:01
2017-11-01,,你的每天炒币经历,错误总结,接了omg evx 希望赶紧涨上来,每天多赚一点钱,2017-11-01 10:02
2017-11-01,奋斗吧〆小哥,说说你认为今天会升的币,等待绽放,,2017-11-01 10:04
2017-11-01,阿！大老虎,说说你认为今天会升的币,xrp,快点涨吧 大哥,2017-11-01 10:05
2017-11-01,冰冰-随行付pos-18007388073,你的每天炒币经历,错误总结,解套解套,9.4前没能逃顶，目前比较迷茫，没有一套自己有效的操作方法,2017-11-01 10:07
2017-11-01,,你的每天炒币经历,错误总结,买了不懂得卖，卖了低位不敢买,,2017-11-01 10:08
2017-11-01,Jacky 1-10,说说你认为今天会升的币,tnt,,2017-11-01 10:08
2017-11-01,大道至简,你的每天炒币经历,错误总结,eos观察中,不积跬步，无以至千里,2017-11-01 10:08
2017-11-01,金融_李坤田_金生水起,你的每天炒币经历,错误总结,我想学习具体看盘,学习技术但不会受到技术的约束,2017-11-01 10:13
2017-11-01,MIKO,说说你认为今天会升的币,eos,11月新的开始,2017-11-01 10:16
2017-11-01,亞歪先生,说说你认为今天会升的币,OMG，eth,每天进步一点点,2017-11-01 10:18
2017-11-01,么么哒,你的每天炒币经历,错误总结,喜欢追高,,2017-11-01 10:23
2017-11-01,天道酬勤,你的每天炒币经历,错误总结,不会止盈止损,希望多点耐心,2017-11-01 10:25
2017-11-01,原来是微信,你的每天炒币经历,错误总结,及时止盈止损,,2017-11-01 10:35
2017-11-01,币盛,你的每天炒币经历,错误总结,干,,2017-11-01 10:36
2017-11-01,A.美家装饰-王小壹,你的每天炒币经历,错误总结,，,。,2017-11-01 10:39
2017-11-01,那朵,你的每天炒币经历,错误总结,一跌就割肉,,2017-11-01 10:39
2017-11-01,小诸葛,说说你认为今天会升的币,hsr,加油共勉,2017-11-01 10:43
2017-11-01,小胖熊,你的每天炒币经历,错误总结,今天卖出eos,赚了25％，买了omg,,2017-11-01 10:43
2017-11-01,彬（源）,你的每天炒币经历,错误总结,关注币圈动向,持有HSR、eos、etc长期持有,2017-11-01 10:57
2017-11-01,快乐,你的每天炒币经历,错误总结,亏损中,找出问题,2017-11-01 11:01
2017-11-01,淡雅,你的每天炒币经历,错误总结,炒币总掉坑里,每次都忍不住追高，有守不住币卖低,2017-11-01 11:01
2017-11-01,LEE,你的每天炒币经历,错误总结,打卡,,2017-11-01 11:02
2017-11-01,金木水火土,你的每天炒币经历,错误总结,现在空仓，一直关注,,2017-11-01 11:03
2017-11-01,金灶沐,你的每天炒币经历,错误总结,学习,,2017-11-01 11:08
2017-11-01,朱公子,你的每天炒币经历,错误总结,想买的币心急成本高,,2017-11-01 11:11
